Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_343:0000196,Tubers planted counting/plot,Sett-N,Evaluation trial,Planting,,,IITA,A.Amele,18-May-2016,EN,Yam,CO_343:0000054,Tubers planted,Agronomical trait,Number of seed tubers planted in a plot or unit area,seed yam,NTP,sett-N,Seed tuber,Number,,,CO_343:0010000,Tubers (seed yams or setts) planted - Counting,Counting,Count the number of tubers (seed yams or setts) planted per plot (unit area),,"IITA, working document",CO_343:0100000,number of tubers,Numerical,,,,,,,,,,,,,,
,CO_343:0000197,Weight of planted tubers computation/ gm,SETW,Evaluation trial,Planting,,BMS_20179,IITA,A. Lopez-Montes,27-Oct-2012,EN,Yam,CO_343:0000057,Weight of planted tubers,Agronomical trait,"Weight of seed tubers (whole seed yams or setts ) planted in a plot or per unit area. Planting material from a tuber is called sett. Seed tuber could be either small, healthy whole tuber or large tubers cut into pieces (sett)",Setts planted weight,WTP,SETW,Seed tuber,Weight,,,CO_343:0010001,Setts or seed yams planted weight - Computation,Computation,Measure the weight of N planted tubers (seed yams or setts) and record the average,,"IITA, working documents",CO_343:0100001,gm/sett,Numerical,,,,,,,,,,,,,,
,CO_343:0000199,First sprout emergence time estimation in yy/mm/dd,Emerdt,Evaluation trial,"Sprouting, vegetative",,,IITA,A.Amele,18-May-2016,EN,Yam,CO_343:0000198,First sprout emergence time,Phenological trait,Time to the first sprout (plant) emerge in a plot,,TIMFSE,DtFSE,Plant or sprout,First emergence time,,,CO_343:0010002,Time first sprout emergence-Estimation,Estimation,Record date of first spout emergence in a plot,,"IITA, Standard Tuber Yield Trial Protocol",CO_343:0100002,Date (yyyymmdd),Time,,,,,,,,,,,,,,
,CO_343:0000201,50% sprout emergence time estimation in yy/mm/dd,DtFemer,Evaluation trial,"Sprouting, vegetative",,,IITA,A.Amele,18-May-2016,EN,Yam,CO_343:0000200,50% sprout emergence time,Phenological trait,Time to 50% sprouts (plants) emerge in a plot,,TIMSE,DtSE,Plant or sprout,50% emergence time,,,CO_343:0010003,Time 50% of sprout emergence-Estimation,Estimation,Record date 50% of sprouts in a plot emerged,,"IITA, Standard Tuber Yield Trial Protocol",CO_343:0100002,Date (yyyymmdd),Time,,,,,,,,,,,,,,
,CO_343:0000202,First sprout emergence time computation in days,Emerday,Evaluation trial,"Sprouting, vegetative",,,IITA,A.Amele,18-May-2016,EN,Yam,CO_343:0000198,First sprout emergence time,Phenological trait,Time to the first sprout (plant) emerge in a plot,,TIMFSE,DtFSE,Plant or sprout,First emergence time,,,CO_343:0010004,Times to first sprout emergence-Computation,Computation,Compute the number of days required from date of planting to the date first sprout or plant in a plot or unit area emerged,"TIMFSE_date_ymd - Planting_date_ymd"" or ""Flw_date_ymd"" - ""Planting_date_ymd""""","IITA, Standard Tuber Yield Trial Protocol",CO_343:0100003,days,Duration,,,,,,,,,,,,,,
,CO_343:0000203,50% sprout emergence time computation in days,DyFemer,Evaluation trial,"Sprouting, vegetative",,,IITA,A.Amele,18-May-2016,EN,Yam,CO_343:0000200,50% sprout emergence time,Phenological trait,Time to 50% sprouts (plants) emerge in a plot,,TIMSE,DtSE,Plant or sprout,50% emergence time,,,CO_343:0010005,Times to 50% spout emergence-Computation,Computation,Compute the number of days required from date of planting to the date 50% of sprouts or plants in a plot emerged,"TIMSE_date_ymd - Planting_date_ymd""""","IITA, Standard Tuber Yield Trial Protocol",CO_343:0100003,days,Duration,,,,,,,,,,,,,,
,CO_343:0000205,Emerged plants counting/plot,,Evaluation trial,"Sprouting, vegetative",,,IITA,A.Amele,18-May-2016,EN,Yam,CO_343:0000204,Number of emerged plants,Agronomical trait,Number of an emerged plants (sprouts) in a plot,,NEP,,Plant or sprout,Number,,,CO_343:0010006,Emerged sprouts -Counting,Counting,Count the emerged plants (sprouts) per plot every week starting from first plant/sprout emergence date till the last plant or spourt emerge in a plot,,IITA working document,CO_343:0100004,plants per plot,Numerical,,,,,,,,,,,,,,
,CO_343:0000206,Proportion of emerged plants (sprouts) computation/%,Ratiosp,Evaluation trial,"Sprouting, vegetative",,BMS_20182,IITA,"A.Amele, A. Lopez-Mentes",27-Oct-2012,EN,Yam,CO_343:0000066,Proportion of emerged plants,Agronomical trait,Proportion of plants /sprouts emerged in a plot,ratio of emerged plants or sprouts,PPE,SPROUT,Plant or sprout,Proportion,,,CO_343:0010007,Emerged sprouts or plants proportion-Computation,Computation,Compute the proportion or ratio of plants/sprouts emerged as the number of emerged plants/sprouts divided by the total number of tubers (seed yam or setts) planted in a plot multiplied by 100,"[NEP_cou_tbrsplot""/""NTP_cou_tbrplot""] times 100""","IITA, working document",CO_343:0100005,Percentage,Numerical,,0,100,,,,,,,,,,,
,CO_343:0000208,Established plants counting/plot,Estbp-N,Evaluation trial,"Sprouting, vegetative",,,IITA,A.Amele,18-May-2016,EN,yam,CO_343:0000207,Established plants,Agronomical trait,Number of well established plants ( plants growing with good vigour and without severe constraints) in a plot,,NESP,estbp-N,plant,Number,,,CO_343:0010008,Number of well established plants -Counting,Counting,Take count of well established plants in a plot usually at two months after planting,,IITA working document,CO_343:0100004,plants per plot,Numerical,,,,,,,,,,,,,,
,CO_343:0000209,Field establishment rate compuation in %,Estbp-ratio,"Characterization trial, Evaluation trial","Sprouting, vegetative",,,IITA,A.Amele,18-May-2016,EN,Yam,CO_343:0000069,Proportion of established plants,Agronomical trait,Proportion of plants in a plot well established (plantsgrowing with good vigour and without severe constraints),Plant establishement ratio,STRATE,Estbp-ratio,Plant,Proportion,,,CO_343:0010009,Field establishment-Computation,Computation,Compute the proportion or ratio of well-established plants in a plot from the total number of tubers (seed yam or setts) planted,"[NESP_cou_plts""/""NTP_Cou_tbrsplot"" ] times 100""","IITA, working documents",CO_343:0100006,%,Numerical,,0,100,,,,,,,,,,,
